,Bill_No,Sponsor,did_it_pass,No. Cosponsors,dir_degree_centrality_sponsor,dir_pagerank_sponsor,dir_closeness_centrality_sponsor,dir_eigenvector_centrality_sponsor,dir_load_centrality_sponsor,dir_avg_degree_centrality_cosponsor,dir_avg_pagerank_cosponsor,dir_avg_closeness_centrality_cosponsor,dir_avg_eigenvector_centrality_cosponsor,dir_avg_load_centrality_cosponsor,und_degree_centrality_sponsor,und_pagerank_sponsor,und_closeness_centrality_sponsor,und_eigenvector_centrality_sponsor,und_load_centrality_sponsor,und_avg_degree_centrality_cosponsor,und_avg_pagerank_cosponsor,und_avg_closeness_centrality_cosponsor,und_avg_eigenvector_centrality_cosponsor,und_avg_load_centrality_cosponsor
248,355,"Sen. Brownback, Sam [R-KS]",not_passed,1,0.55,0.029326522779116,0.362517482517483,0.113507782925096,0.010852164471753,0.18,0.001931644841882,0.386865671641791,0.001998509057522,0.001481803911043,0.48,0.019072126136726,0.657894736842105,0.107613593762512,0.020532580572226,0.17,0.006091091960092,0.546448087431694,0.045072935156599,0.001585992383871
492,609,"Sen. Brownback, Sam [R-KS]",not_passed,3,0.69,0.018434952771016,0.501329113924051,0.086941003696263,0.011658861371937,0.743333333333333,0.015810145233132,0.532657737389385,0.1242490609111,0.010531116318932,0.57,0.012048069545749,0.699300699300699,0.077338113466008,0.011543833401064,0.533333333333333,0.012988393389088,0.686321959613885,0.117173682601258,0.006015199874776
524,644,"Sen. Brownback, Sam [R-KS]",not_passed,3,0.74,0.017523901397072,0.514350649350649,0.091021327701269,0.011284421148801,0.866666666666667,0.012952158596849,0.593432547750076,0.113997136516672,0.013928518987497,0.6,0.011792433870089,0.714285714285714,0.081353165201818,0.010418246208475,0.643333333333333,0.012495194447875,0.738518304307778,0.121894148103396,0.007746762945937
537,659,"Sen. Brownback, Sam [R-KS]",not_passed,3,0.74,0.018773810284711,0.512658227848101,0.099521608711182,0.010235304733388,0.89,0.027742123839473,0.496041971783986,0.162357078159162,0.007542380218399,0.6,0.012046387081068,0.714285714285714,0.085385005421899,0.010009329214763,0.703333333333333,0.015421084987017,0.794610855094726,0.122286187953016,0.013010927397397
803,933,"Sen. Brownback, Sam [R-KS]",not_passed,2,0.81,0.01509252294052,0.577239263803681,0.081129687719384,0.015260892074717,0.69,0.008049955674062,0.611386497890295,0.051720944033734,0.005894990766191,0.63,0.009980487932047,0.72992700729927,0.073228297078234,0.007196488516764,0.575,0.009799548040055,0.702454895001479,0.092172412366372,0.004614394527286
820,950,"Sen. Brownback, Sam [R-KS]",not_passed,3,0.82,0.015190972442893,0.577239263803681,0.079715779528247,0.015455524994173,0.523333333333333,0.005017639243778,0.58400522060535,0.017501421060365,0.009438264282682,0.63,0.010234259426227,0.72992700729927,0.073576758217161,0.006975226073499,0.436666666666667,0.007500354563706,0.647097170028376,0.05906874511151,0.003147957235662
1024,1155,"Sen. Brownback, Sam [R-KS]",not_passed,25,0.9,0.01819466781504,0.601288343558282,0.096575548649991,0.007201065786622,0.7916,0.010869722355076,0.595680948653732,0.070068339007357,0.007316127598987,0.64,0.010995934081378,0.735294117647059,0.08378989204443,0.003212790107812,0.6228,0.009339859650556,0.740582236500332,0.080179327207287,0.005163849105157
1174,1305,"Sen. Brownback, Sam [R-KS]",not_passed,3,0.93,0.01710242787881,0.6125625,0.087562192078234,0.007910033088487,0.536666666666667,0.004103519845723,0.624748568665632,0.016221363831188,0.001840242136876,0.65,0.010389611353991,0.740740740740741,0.080273038511309,0.003660643656114,0.466666666666667,0.007038183824938,0.65247156788778,0.056758562445872,0.001592643491878
1241,1373,"Sen. Brownback, Sam [R-KS]",not_passed,4,0.94,0.017390447519001,0.616415094339623,0.092437929001808,0.007131837789819,1.0775,0.020842526983387,0.611053219241299,0.134593863972462,0.005308239641545,0.65,0.010322506492638,0.740740740740741,0.080930849282929,0.003342047035334,0.79,0.011671139106713,0.851229799261679,0.101675751481683,0.006764574830997
1314,1446,"Sen. Brownback, Sam [R-KS]",not_passed,0,0.94,0.016970672695377,0.616415094339623,0.091354200939505,0.00698045768307,0,0,0,0,0,0.65,0.009810373015149,0.740740740740741,0.076352384371219,0.003385081521918,0,0,0,0,0
1330,1462,"Sen. Brownback, Sam [R-KS]",passed,38,1.17,0.01981623313352,0.616415094339623,0.127554709526242,0.011134381308914,1.02368421052632,0.010207130880502,0.686513748269478,0.094112677310349,0.006913824770772,0.85,0.012541153713191,0.869565217391304,0.108347447065799,0.006233301430123,0.723947368421052,0.011072498519342,0.793549997822175,0.110305971726115,0.00397596059283
1436,1568,"Sen. Brownback, Sam [R-KS]",not_passed,4,1.17,0.019201818238781,0.616415094339623,0.124275457669724,0.010640380808105,0.775,0.008572084311502,0.609942920520527,0.048656815968332,0.005116982089892,0.85,0.01259113512069,0.869565217391304,0.108769350386074,0.005742900511647,0.595,0.008205368143408,0.725947114536934,0.069983848873681,0.004078472104504
1649,1782,"Sen. Brownback, Sam [R-KS]",not_passed,0,1.18,0.018394622327657,0.620316455696203,0.115282803233084,0.007694422908577,0,0,0,0,0,0.85,0.01164886103287,0.869565217391304,0.100188536553097,0.006335628681123,0,0,0,0,0
1822,1956,"Sen. Brownback, Sam [R-KS]",not_passed,4,1.19,0.017568788720334,0.624267515923567,0.107791325447256,0.007629177932028,0.925,0.009221870674034,0.654468737337355,0.05091432378948,0.005666722125964,0.85,0.011334129576792,0.869565217391304,0.095291015970592,0.006710007047468,0.71,0.008756607272129,0.779549063498441,0.073877453153945,0.005555292003061
2463,2606,"Sen. Brownback, Sam [R-KS]",not_passed,2,1.26,0.014330627092267,0.662251655629139,0.085029836868944,0.009673413208992,0.9,0.006040226651454,0.695174390826565,0.029995577153631,0.007566627991804,0.85,0.010025272748473,0.869565217391304,0.08603745594941,0.005365796490063,0.72,0.007897667308498,0.781440781440781,0.06455416289663,0.004115530015977
